Party,Number_Delegates,Number_Overflow_Delegates,Number_Ministers,Number_Ministries/Agencies,Name_Ministry,Contentions
Albania ,33,6,,4,"Ministry of Tourism and Environment, 
Foreign Ministry, 
Ministry of Infrastructure and Energy",
Algeria ,2,0,,1,Foreign Ministry,
Andorra,11,0,,2,"Ministry of Energy Transition, 
Foreign Ministry",
Angola,188,28,,7,"Ministry of External Relations, 
Ministry of Oil, Gas and Mineral Resources,
Ministry of Energy and Water,
Ministry of Fisheries and Oceans,
Ministry of Transport,
Ministry of Environment,
Ministry of Telecomunication, Information Technologies and Communication,",Office of the Presidency of the Republic
Antigua and Barbuda,28,9,,4,"Ministry of Finance, 
Corporate Governance and Public Private Partnerships, 
Ministry of Health, Wellness, Social Transformation and the Environment, 
Ministry of Foreign Affairs, 
Ministry of Environment",
Argentina,23,94,,2,"Ministry of Foreign Affairs, International Trade and Worship, Ministry of Environment and Sustainable Development ",
Armenia,52,25,,3,"Ministry of Health of the Republic of Armeni, 
Ministry of Enviornment, 
Ministry of Foreign Affairs of the Republic of Armenia",Office of the President of the Republic of Armeni
Australia,105,284,,3,"Minister for Climate Change and Energy of the Government of Australia,
Assistant Minister for Health and Aged Care,
Department of Foreign Affairs and Trade",
Austria,48,58,,3,"Federal Ministry for Climate Action,
Federal Ministry of Finance, 
Federal Ministry for European and International Affairs,
Federal Ministry for Agriculture and Forestry",Office of the President
Azerbaijan,213,94,,5,"MInistry of Ecology and Natural Resources of the Republic of Azerbaija, 
Ministry of the Economy,
The Ministry of Energy of the Republic of Azerbaijan,
The Ministry of Agriculture of the Republic of Azerbaijan,
The Ministry of Foreign Affairs of the Republic of Azerbaijan",
Bahamas,29,29,,4,"Minister of Energy and Transportation, 
Ministry of Finance, 
Ministry of Foreign Affiars, 
Ministry of Agriculture",Office of The Prime Minister
Bahrain,90,109,,6,"Ministry of Finance and National Economy,
Ministry of Oil & Environment, 
Minister of Sustainable Development, 
Ministry of housing and urban planning,
Ministry of Foreign Affairs,
Ministry of Health
",
Bangladesh,110,0,,8,"Ministry of Environment, Forest and Climate Change,
Ministry of Information and Broadcasting,
Ministry of Power, Energy & Mineral Resources,
Ministry of Health and Family Welfare,
Ministry of Housing and Public Works,
Ministry of Foreign Affairs,
Ministry of Water Resources,
Ministry of Disaster Management and Relief",
Barbados,68,3,,4,"Ministry of Foreign Affairs and Foreign Trade,
Ministry of Health and Wellness,
Ministry of Environment and National Beautification, Green and Blue Economy,
Ministry of Foreign Affairs and Foreign Trade",
Belarus,47,0,,2,"Minister of Natural Resources and Environmental Protection of the Republic of Belarus,
Minister of Foreign Affairs of the Republic of Belarus",
Belgium,55,108,,5,"Minister of Climate, Environment, Sustainable Development and Green Deal,Brussels Minister responsible for Climate Change, Environment, Energy and Participatory Democracy,Minister of Climate, Energy, Mobility and Infrastructure,
Ministery of Foreign Affairs,
Ministery of Health and  Environment",unique case - belgium split jurisdiction
Belize,33,11,,5,"Sustainable Development, Climate Change and Disaster Risk Management,
Ministry of Finance, Economic Development & Investment,
Ministry of Foreign Affairs,
Ministry of Economic Development,
Ministry of Blue Economy & Civil Aviation",
Benin,126,98,,3,"Ministry of Foreign Affairs,
MCVT,
Ministry of Finance",
Bhutan,28,85,,4,"Ministry of Foreign Affair and External Trade,
Ministry of Energuy and Natural Resources,
Ministry of Environment and Climate Change,
Ministry of Agriculture and Livestock",
Bolivia,32,5,,3,"Ministry of Planning and Development,
Minister of Environment and Water,
Ministry of Foreign Affairs",
Bosnia and Herzegovina,31,1,,3,"Minister of Spatial Planning, Construction and Ecology,
Ministry of Energy and Environment,
Minister of Foreign Trade and Economic Relations
",
Botswana,117,9,,9,"Minister of Local Government and Rural Development,Minister of Health,Ministry of Environment and Tourism,Ministry of Foreign Affairs Botswana,Ministry of Presidential Affairs,Ministry of Minerals and Energy,Ministry of Agriculture,Ministry of Lands and Water Affairs,Ministry of Finance",
Brazil,1037,1264,,19,"Ministry of Agriculture and Livestock,
Ministry of Science, Technology and Innovation,
Ministry of Indigenous Peoples,
Ministry of Foreign Affairs,
Ministry of the Environment and Climate Change,
Ministry of Management and Innovation in Public Services,
Ministry of Cities,
Ministry of Finance,
Ministry of Culture,
Ministry of Tourism,
Ministry of Ports and Airports,
Ministry of Mines and Energy,
Ministry of Agrarian Development and Family Farming,
Ministry of Health,
Ministry of Integration and Regional Development,
Ministry of Transports,
Ministry of Women,
Ministry of Racial Equality,
Ministry Of Development, Industry, Trade And Services",
Brunei,68,12,,3,"Ministry of Development,
Ministry of Foreign Affairs,
Ministry of Health
",significant number of delegation from HM's office
Bulgaria,79,133,,8,"Ministry of Environment and Water,
Ministry of Energy,
Ministry of Culture,
Ministry of Tourism,
Ministry of Foreign Affairs,
Ministry of Innovation and Growth,
Ministry of Health,
Minister of Labour and Social Policy",
